id,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16
9465667,15,0,13,2,15,0,15,0,14,1,15,0,15,0,15,0
9465671,15,0,13,2,15,0,15,0,14,1,12,3,12,3,12,3
9465921,14,1,15,0,15,0,14,1,14,1,13,2,13,2,14,1
9466138,15,0,14,1,15,0,13,2,15,0,14,1,15,0,15,0
9466283,14,1,15,0,14,1,15,0,15,0,15,0,14,1,14,1
9466326,15,0,15,0,15,0,14,1,13,2,13,2,14,1,12,3
9466476,15,0,15,0,15,0,14,1,13,2,14,1,13,2,13,2
9466480,15,0,15,0,15,0,15,0,15,0,15,0,14,1,14,1
9466742,15,0,14,1,14,1,15,0,14,1,15,0,15,0,15,0
9466829,15,0,13,2,15,0,15,0,15,0,14,1,14,1,14,1
9466866,15,0,14,1,15,0,15,0,15,0,14,1,14,1,14,1
9466884,14,1,15,0,14,1,15,0,15,0,15,0,13,2,15,0
9466941,15,0,15,0,15,0,14,1,14,1,13,2,15,0,15,0
9468306,15,0,14,1,15,0,14,1,15,0,14,1,13,2,15,0
9468749,15,0,14,1,15,0,15,0,14,1,15,0,13,2,12,3
9469068,14,1,13,2,15,0,15,0,15,0,14,1,13,2,15,0
9469184,15,0,14,1,15,0,14,1,15,0,15,0,15,0,14,1
9469520,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9470505,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9470701,15,0,14,1,15,0,15,0,15,0,14,1,15,0,15,0
9470917,13,2,15,0,15,0,15,0,14,1,12,3,14,1,12,3
9471425,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9471449,15,0,12,3,14,1,15,0,13,2,15,0,12,3,12,3
9471484,14,1,15,0,15,0,14,1,15,0,14,1,15,0,14,1
9471899,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9472554,15,0,13,2,14,1,14,1,15,0,15,0,15,0,14,1
9472997,15,0,15,0,15,0,15,0,14,1,13,2,14,1,13,2
9473204,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9473616,15,0,15,0,15,0,13,2,13,2,14,1,14,1,14,1
9474211,14,1,14,1,15,0,15,0,12,3,10,5,12,3,12,3
9474251,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9474260,15,0,15,0,15,0,15,0,14,1,14,1,14,1,13,2
9474400,15,0,15,0,15,0,15,0,12,3,15,0,15,0,13,2
9474984,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9475114,14,1,13,2,14,1,15,0,13,2,13,2,12,3,13,2
9475907,14,1,15,0,15,0,15,0,14,1,12,3,14,1,15,0
9476077,15,0,14,1,15,0,15,0,15,0,15,0,15,0,13,2
9478100,15,0,14,1,14,1,15,0,12,3,12,3,15,0,14,1
9478161,11,4,14,1,15,0,14,1,12,3,12,3,11,4,11,4
9478896,10,5,15,0,15,0,15,0,11,4,13,2,15,0,14,1
9478990,15,0,15,0,15,0,15,0,15,0,13,2,15,0,15,0
9479102,9,6,15,0,15,0,14,1,15,0,14,1,14,1,14,1
9479433,14,1,15,0,15,0,15,0,15,0,14,1,15,0,15,0
9479480,14,1,14,1,15,0,15,0,15,0,15,0,15,0,15,0
9480047,15,0,13,2,15,0,14,1,14,1,15,0,14,1,15,0
9480089,15,0,15,0,15,0,15,0,15,0,14,1,14,1,12,3
9480636,14,1,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9481785,15,0,15,0,15,0,13,2,14,1,15,0,12,3,12,3
9481871,14,1,13,2,15,0,13,2,11,4,10,5,15,0,15,0
9482268,15,0,15,0,14,1,14,1,14,1,13,2,13,2,15,0
9482360,14,1,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9482529,15,0,14,1,13,2,14,1,11,4,13,2,15,0,15,0
9483955,14,1,13,2,13,2,14,1,14,1,15,0,15,0,14,1
9483998,15,0,14,1,15,0,15,0,14,1,15,0,14,1,15,0
9484797,15,0,15,0,15,0,15,0,15,0,14,1,15,0,14,1
9484885,13,2,12,3,15,0,15,0,12,3,14,1,14,1,15,0
9484981,14,1,14,1,15,0,14,1,15,0,14,1,15,0,14,1
9485001,15,0,15,0,15,0,13,2,15,0,15,0,15,0,15,0
9485061,15,0,11,4,13,2,15,0,14,1,15,0,13,2,13,2
9485337,14,1,14,1,14,1,15,0,15,0,15,0,14,1,15,0
9485435,15,0,14,1,15,0,13,2,15,0,14,1,13,2,14,1
9486270,15,0,15,0,15,0,15,0,15,0,15,0,15,0,13,2
9486901,15,0,15,0,15,0,15,0,14,1,14,1,14,1,14,1
9486974,15,0,15,0,15,0,15,0,13,2,15,0,14,1,15,0
9487140,15,0,15,0,14,1,15,0,15,0,15,0,15,0,13,2
9487238,15,0,13,2,15,0,15,0,15,0,15,0,13,2,15,0
9487357,14,1,13,2,15,0,13,2,14,1,13,2,15,0,11,4
9487366,15,0,15,0,15,0,15,0,15,0,13,2,15,0,15,0
9487470,14,1,13,2,15,0,15,0,15,0,15,0,15,0,15,0
9487703,12,3,12,3,14,1,15,0,14,1,13,2,14,1,15,0
9487951,12,3,14,1,14,1,12,3,12,3,14,1,15,0,13,2
9488063,15,0,14,1,15,0,15,0,15,0,15,0,15,0,15,0
9488460,15,0,12,3,15,0,14,1,14,1,14,1,13,2,13,2
9488720,15,0,15,0,15,0,15,0,14,1,15,0,15,0,15,0
9488829,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9488839,14,1,15,0,15,0,15,0,15,0,14,1,15,0,15,0
9489382,15,0,14,1,15,0,15,0,14,1,13,2,11,4,13,2
9490585,15,0,15,0,15,0,15,0,14,1,15,0,14,1,14,1
9490609,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9490969,15,0,15,0,15,0,14,1,14,1,13,2,14,1,14,1
9491092,15,0,15,0,15,0,15,0,14,1,15,0,13,2,15,0
9491094,14,1,13,2,14,1,13,2,13,2,15,0,13,2,8,7
9491110,15,0,15,0,15,0,15,0,11,4,11,4,15,0,15,0
9491957,14,1,14,1,13,2,14,1,14,1,14,1,13,2,14,1
9492035,14,1,14,1,15,0,15,0,14,1,15,0,11,4,15,0
9492068,14,1,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9492101,15,0,15,0,14,1,13,2,14,1,15,0,14,1,13,2
9492698,12,3,14,1,15,0,15,0,13,2,14,1,14,1,15,0
9492876,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9493144,12,3,11,4,15,0,15,0,10,5,12,3,15,0,12,3
9493650,13,2,12,3,15,0,15,0,15,0,13,2,13,2,14,1
9493958,13,2,10,5,12,3,12,3,11,4,13,2,15,0,10,5
9493994,13,2,15,0,15,0,13,2,13,2,12,3,13,2,14,1
