"Subject"	"PrimeType"	"TargetType"	"Accuracy"	"Task"	"TrialType"	"ConType"	"Observer"
29	"white"	"weapon"	0.5625	"WIT"	"white_weapon"	"incongruent"	"Present"
30	"black"	"tool"	0.541666666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
30	"black"	"weapon"	0.5625	"WIT"	"black_weapon"	"congruent"	"Absent"
30	"white"	"tool"	0.729166666666667	"WIT"	"white_tool"	"congruent"	"Absent"
30	"white"	"weapon"	0.354166666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
31	"black"	"tool"	0.0416666666666667	"WIT"	"black_tool"	"incongruent"	"Present"
31	"black"	"weapon"	0.104166666666667	"WIT"	"black_weapon"	"congruent"	"Present"
31	"white"	"tool"	0.166666666666667	"WIT"	"white_tool"	"congruent"	"Present"
31	"white"	"weapon"	0.125	"WIT"	"white_weapon"	"incongruent"	"Present"
32	"black"	"tool"	0.354166666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
32	"black"	"weapon"	0.583333333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
32	"white"	"tool"	0.604166666666667	"WIT"	"white_tool"	"congruent"	"Absent"
32	"white"	"weapon"	0.416666666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
33	"black"	"tool"	0.375	"WIT"	"black_tool"	"incongruent"	"Present"
33	"black"	"weapon"	0.645833333333333	"WIT"	"black_weapon"	"congruent"	"Present"
33	"white"	"tool"	0.645833333333333	"WIT"	"white_tool"	"congruent"	"Present"
33	"white"	"weapon"	0.3125	"WIT"	"white_weapon"	"incongruent"	"Present"
34	"black"	"tool"	0.645833333333333	"WIT"	"black_tool"	"incongruent"	"Absent"
34	"black"	"weapon"	0.791666666666667	"WIT"	"black_weapon"	"congruent"	"Absent"
34	"white"	"tool"	0.854166666666667	"WIT"	"white_tool"	"congruent"	"Absent"
34	"white"	"weapon"	0.604166666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
35	"black"	"tool"	0.520833333333333	"WIT"	"black_tool"	"incongruent"	"Present"
35	"black"	"weapon"	0.875	"WIT"	"black_weapon"	"congruent"	"Present"
35	"white"	"tool"	0.645833333333333	"WIT"	"white_tool"	"congruent"	"Present"
