"Subject"	"Observer"	"BNcor"	"BPcor"	"BNfa"	"BPfa"	"APT_BlackC"	"APT_BlackA"	"WPcor"	"WNcor"	"WPfa"	"WNfa"	"APT_WhiteC"	"APT_WhiteA"	"APT_DiffA"	"APT_MeanC"	"APT_AResid"	"BGcor"	"BTcor"	"BGfa"	"BTfa"	"WIT_BlackC"	"WIT_BlackA"	"WTcor"	"WGcor"	"WTfa"	"WGfa"	"WIT_WhiteC"	"WIT_WhiteA"	"WIT_DiffA"	"WIT_MeanC"	"WIT_AResid"	"WIT_MeanC.stand"	"WIT_AResid.stand"	"WIT_DiffA.stand"	"AP_MeanC.stand"	"AP_AResid.stand"	"AP_DiffA.stand"
22	"Absent"	26	26	18	18	0.166666666666667	0.45	31	15	16	29	0.0416666666666667	0.630434782608696	-0.180434782608696	0.104166666666667	0.00069373386166347	33	7	11	31	0.0416666666666666	0.673913043478261	25	19	10	23	0.0416666666666667	0.5	0.173913043478261	0.0416666666666667	0.194315174702974	-1.53110735246046	1.14013482068887	0.61612873595188	-1.04856871024928	0.00457539644491143	-0.57292190836461
23	"Present"	42	15	3	29	0.270833333333333	0.828571428571429	35	19	9	23	0.25	0.638888888888889	0.18968253968254	0.260416666666667	0.376380141232609	40	20	5	21	0.395833333333333	0.724137931034483	40	25	5	15	0.520833333333333	0.652173913043478	0.0719640179910045	0.458333333333333	0.234527009942107	0.204597311415421	1.37824876051269	0.168354056759712	-0.347342926887843	2.65507503620698	1.44122923131395
24	"Absent"	29	27	14	19	0.208333333333333	0.5	39	19	7	27	0.25	0.75	-0.25	0.229166666666667	0.00989129116912052	37	20	9	23	0.291666666666667	0.676470588235294	22	34	20	10	0.25	0.277777777777778	0.398692810457516	0.270833333333333	0.211494954589726	-0.576469787328725	1.24186469821904	1.60339357312885	-0.487588083560131	0.0694649475487272	-0.951490684944135
25	"Present"	24	23	9	12	0.25	0.333333333333333	31	18	7	9	0.458333333333333	0.346153846153846	-0.0128205128205129	0.354166666666667	-0.0189601319975584	34	27	9	6	0.583333333333333	0.3	31	27	4	11	0.416666666666667	0.392857142857143	-0.0928571428571429	0.5	-0.17254786255203	0.378167777803009	-1.03224061696618	-0.555564019652753	0.0733925431290211	-0.134084303128314	0.339222571743266
26	"Absent"	22	32	22	9	0.270833333333333	0.257142857142857	20	31	22	15	0.104166666666667	0.348837209302326	-0.0916943521594685	0.1875	-0.096066324091689	27	33	14	9	0.375	0.3	29	30	13	11	0.375	0.366666666666667	-0.0666666666666667	0.375	-0.170824527697456	-0.142543621359755	-1.0220359085907	-0.440531707984933	-0.674581625789848	-0.67807506339856	-0.0900030381577356
27	"Present"	30	24	6	7	0.479166666666667	0.28	30	29	4	6	0.5	0.25	0.03	0.489583333333333	-0.0394803121166089	35	18	2	7	0.583333333333333	0.35	31	29	5	9	0.458333333333333	0.346153846153846	0.00384615384615378	0.520833333333333	-0.119474782916251	0.464953010996803	-0.717968959989916	-0.130829330417725	0.681121555375602	-0.278855923677507	0.572248640788451
28	"Absent"	26	39	18	8	0.375	0.266666666666667	35	40	10	7	0.583333333333333	0.35	-0.0833333333333333	0.479166666666667	-0.0869393247927963	29	23	15	17	0.25	0.472222222222222	24	32	20	15	0.1875	0.384615384615385	0.0876068376068376	0.21875	0.00021666784121238	-0.793432870313211	-0.00921735157405275	0.237059554449989	0.634373169818172	-0.613683305061832	-0.0445029910556904
29	"Present"	28	17	11	24	0.0833333333333334	0.545454545454546	32	30	11	11	0.4375	0.407407407407407	0.138047138047138	0.260416666666667	0.172257886224185	31	20	12	21	0.208333333333333	0.552631578947368	26	27	18	19	0.145833333333333	0.463414634146341	0.0892169448010271	0.177083333333333	0.0754410293702672	-0.967003336700799	0.436222877350982	0.244131375184885	-0.347342926887842	1.21497512108535	1.16023318820017
30	"Absent"	17	24	20	19	-0.0416666666666666	0.38	36	16	7	27	0.1875	0.692307692307692	-0.312307692307692	0.0729166666666667	-0.0904208169023097	27	26	12	11	0.333333333333333	0.34375	35	17	8	25	0.208333333333333	0.657894736842105	-0.314144736842105	0.270833333333333	-0.146237351630613	-0.576469787328725	-0.876443216100987	-1.52749073432458	-1.18881386692157	-0.638245528770363	-1.29056454589012
32	"Absent"	30	23	4	14	0.333333333333333	0.4375	33	13	4	12	0.4375	0.444444444444444	-0.00694444444444442	0.385416666666667	0.0516642002722859	28	17	15	28	0	0.583333333333333	29	20	16	24	0.104166666666667	0.558139534883721	0.0251937984496124	0.0520833333333333	0.0999098797857368	-1.48771473586356	0.5811149057983	-0.0370674266806759	0.213637699801309	0.364176383356496	0.371199701976513
