"Subject"	"Task"	"C_black"	"A_neg_black"	"A_pos_black"	"C_white"	"A_neg_white"	"A_pos_white"	"AResid"	"C_mean"	"IMS"	"EMS"	"Observer"
51	"APT"	0.657875457875458	0.749464668094218	0.250535331905782	0.623015873015873	0.189473684210526	0.810526315789474	0.177913560152526	0.640445665445665	7	6.8	"Present"
52	"APT"	0.384496124031008	0.566750629722922	0.433249370277078	0.332562442183164	0.446292446292446	0.553707553707554	-0.00149195854781119	0.358529283107086	7	3.4	"Absent"
54	"APT"	0.505928853754941	0.736	0.264	0.348989898989899	0.546159813809154	0.453840186190846	0.169043973299915	0.42745937637242	9	4.4	"Absent"
55	"APT"	0.238900634249471	0.641666666666667	0.358333333333333	0.0383720930232558	0.532043530834341	0.467956469165659	0.0745287840946648	0.138636363636364	6.6	2.2	"Present"
56	"APT"	0.658730158730159	0.837209302325581	0.162790697674419	0.532051282051282	0.178082191780822	0.821917808219178	0.265511441177543	0.59539072039072	7.4	7	"Absent"
57	"APT"	0.703571428571429	0.759036144578313	0.240963855421687	0.764473684210526	0.106145251396648	0.893854748603352	0.186411541239011	0.734022556390977	6.6	3.2	"Present"
58	"APT"	0.333333333333333	0.678571428571428	0.321428571428571	0.326148610323313	0.276094276094276	0.723905723905724	0.108136227932747	0.329740971828323	8.6	3	"Absent"
59	"APT"	0.144672531769306	0.283428571428571	0.716571428571429	0	0.455252918287938	0.544747081712062	-0.284698581748488	0.072336265884653	2.3	2.6	"Present"
60	"APT"	0.106271777003484	0.600389863547758	0.399610136452242	0.334146341463415	0.549450549450549	0.450549450549451	0.0334762304154688	0.220209059233449	9	6.6	"Absent"
61	"APT"	0	0.666666666666667	0.333333333333333	0.222222222222222	0.392857142857143	0.607142857142857	0.0977356872865528	0.111111111111111	8.2	8	"Present"
62	"APT"	0.643892339544513	0.732558139534884	0.267441860465116	0.759725400457666	0.452380952380953	0.547619047619047	0.164393987675873	0.70180887000109	9	1.8	"Absent"
63	"APT"	0.277161862527716	0.371165644171779	0.628834355828221	0.618487394957983	0.0748898678414097	0.92511013215859	-0.201861612970842	0.44782462874285	8	5.2	"Present"
64	"APT"	0	0.572519083969466	0.427480916030534	0	0.625	0.375	0.00657873192165266	0	5.6	5.4	"Absent"
65	"APT"	0.512820512820513	0.578947368421053	0.421052631578947	0.274725274725275	0.671717171717172	0.328282828282828	0.0136088597913172	0.393772893772894	5	6.8	"Present"
66	"APT"	0.296563192904656	0.549251379038613	0.450748620961387	0.437070938215103	0.579268292682927	0.420731707317073	-0.01727812098273	0.36681706555988	9	7	"Absent"
67	"APT"	0.393434343434343	0.512905911740216	0.487094088259783	0.540135396518375	0.444794952681388	0.555205047318612	-0.0553559682949856	0.466784869976359	7.2	3.2	"Present"
68	"APT"	0.248809523809524	0.63391442155309	0.36608557844691	0.029951690821256	0.358565737051793	0.641434262948207	0.0645416761986679	0.13938060731539	3.4	2	"Absent"
69	"APT"	0.623931623931624	0.590909090909091	0.409090909090909	0.375565610859729	0.246376811594203	0.753623188405797	0.0200910490205241	0.499748617395676	6.6	4.2	"Present"
70	"APT"	0.395652173913043	0.496402877697842	0.503597122302158	0.291304347826087	0.153374233128834	0.846625766871166	-0.0756132887272979	0.343478260869565	9	9	"Absent"
71	"APT"	0.636363636363636	0.8125	0.1875	0.451086956521739	0.316831683168317	0.683168316831683	0.242589607251349	0.543725296442688	7.6	6.6	"Present"
72	"APT"	0.195121951219512	0.515151515151515	0.484848484848485	0.315789473684211	0.269230769230769	0.730769230769231	-0.0553721060031968	0.255455712451861	6.4	7	"Absent"
73	"APT"	0.371428571428571	0.681818181818182	0.318181818181818	0.545571245186136	0.536723163841808	0.463276836158192	0.114740585565344	0.458499908307354	9	8.4	"Present"
74	"APT"	0.735772357723577	0.630769230769231	0.369230769230769	0.763888888888889	0.529411764705882	0.470588235294118	0.0635974439375292	0.749830623306233	3.2	6	"Absent"
75	"APT"	0	0.530120481927711	0.469879518072289	0.0720930232558139	0.323308270676692	0.676691729323308	-0.0397064748717968	0.036046511627907	6.6	3.4	"Present"
76	"APT"	0.653846153846154	0.518518518518519	0.481481481481481	0.603174603174603	0.28	0.72	-0.0518663658416061	0.628510378510378	9	4.8	"Absent"
77	"APT"	0.453488372093023	0.914893617021277	0.0851063829787234	0.693059628543499	0.789808917197452	0.210191082802548	0.35107644919909	0.573274000318261	9	8	"Present"
78	"APT"	0.581447963800905	0.632432432432432	0.367567567567568	0.521337126600285	0.604754829123328	0.395245170876672	0.0662312678740988	0.551392545200595	9	2.8	"Absent"
