"Subject"	"APperfBias"	"WITperfBias"
58	-0.25	-0.135416666666667
59	-0.072916666666667	-0.166666666666667
60	0.0729166666666665	-0.0104166666666665
61	-0.104166666666667	0.0833333333333335
62	0.03125	0.0416666666666665
63	-0.15625	0
64	-0.104166666666667	-0.125
65	-0.260416666666667	-0.0104166666666665
66	-0.166666666666667	-0.052083333333333
67	-0.0729166666666665	-0.010416666666667
68	-0.40625	-0.604166666666667
69	-0.104166666666667	0.010416666666667
70	0.145833333333333	-0.0625
71	-0.104166666666667	-0.145833333333333
72	-0.260416666666667	-0.09375
73	-0.145833333333333	-4.44089209850063e-16
74	-0.072916666666667	-0.177083333333333
75	-0.135416666666667	-0.03125
76	-0.0208333333333335	-0.0833333333333335
77	-0.229166666666667	-0.166666666666667
78	-0.25	-0.135416666666667
79	-0.0625	-0.052083333333333
80	-0.40625	-0.239583333333333
81	-0.25	-0.052083333333333
82	0.0833333333333335	0.135416666666667
83	-0.208333333333333	-0.0104166666666665
84	-0.260416666666667	-0.125
85	-0.208333333333334	-0.114583333333333
86	-0.333333333333333	-0.291666666666667
88	0.0833333333333335	-0.083333333333333
89	-0.21875	-0.3125
90	-0.197916666666667	-0.0625
91	-0.302083333333333	-0.177083333333333
92	-0.0625000000000004	-0.135416666666667
93	-0.1875	-0.1875
94	-0.0104166666666665	-0.15625
95	-0.114583333333333	-0.239583333333333
96	-0.083333333333333	-0.125
97	-0.010416666666667	-0.104166666666667
98	0.0520833333333335	0.052083333333333
99	-0.0937500000000004	-0.114583333333333
100	0.229166666666667	-0.1875
101	-0.041666666666667	-0.15625
102	2.22044604925031e-16	-0.09375
103	-0.21875	-0.364583333333333
104	-0.125	-0.145833333333333
105	-0.03125	-0.0624999999999996
106	0.15625	0.0520833333333335
107	-0.458333333333333	-0.208333333333333
108	0.0208333333333335	-0.0104166666666665
109	-0.145833333333333	-0.447916666666667
110	-0.0416666666666665	0.09375
111	0.041666666666667	-0.135416666666667
112	0.125	-0.083333333333333
113	0.0833333333333335	-0.0312499999999996
114	0.0208333333333335	-0.083333333333333
115	-0.010416666666667	-0.03125
116	-0.052083333333333	-0.03125
117	0.0208333333333335	0.0312500000000004
118	-0.09375	-0.0937500000000004
119	-0.166666666666667	-0.052083333333333
120	-0.1875	0.0104166666666665
121	0.0833333333333335	0
122	-0.020833333333333	-0.125
123	-0.0625	0.041666666666667
124	-0.104166666666667	-0.09375
125	0.0104166666666665	-0.03125
126	0.03125	-0.15625
127	-0.145833333333333	-0.125
128	0.0833333333333335	-0.177083333333333
129	0.020833333333333	0
130	0.041666666666667	-0.09375
131	-0.458333333333333	-0.270833333333333
132	-0.0520833333333339	0.0208333333333335
133	-0.0729166666666661	-0.15625
134	-0.052083333333333	0.03125
135	0.0833333333333335	-0.0208333333333335
136	-0.0416666666666665	0.104166666666667
137	-0.46875	-0.208333333333333
138	-0.104166666666667	0.166666666666667
139	-0.0625	-0.114583333333333
140	-0.104166666666667	0.0833333333333335
141	-0.041666666666667	-0.0416666666666665
142	-0.270833333333333	-0.09375
143	-0.1875	-0.177083333333333
144	-0.0625	-0.0833333333333335
145	-0.25	-0.1875
146	-0.0416666666666665	-0.322916666666667
147	-0.0625	-0.0624999999999996
148	-0.635416666666667	0.03125
149	-0.0416666666666665	-0.0312500000000004
150	-0.302083333333333	-0.197916666666667
151	-0.104166666666667	-0.09375
152	-0.0104166666666665	-0.0520833333333335
153	0.0729166666666665	0
154	-0.09375	-0.28125
155	0.03125	0.083333333333333
156	-0.0312499999999995	-0.0520833333333335
157	-0.125	4.44089209850063e-16
158	-0.041666666666667	0.0937499999999995
159	-0.0624999999999996	-0.09375
160	0.0625	0.0625
161	-0.135416666666667	-0.020833333333333
162	-0.0520833333333335	0.0520833333333335
163	0.0520833333333335	-0.0833333333333335
164	-0.0625	-0.0312500000000004
165	-0.291666666666667	-0.15625
166	-0.03125	-0.0625
167	-0.020833333333333	0.0416666666666665
168	0.0104166666666665	-0.125
169	-0.072916666666667	0.104166666666667
170	-0.0833333333333335	-4.44089209850063e-16
171	0.0208333333333335	0.09375
172	-0.0729166666666665	-0.0729166666666665
173	-0.052083333333333	-0.083333333333333
174	-0.03125	-0.239583333333333
175	-0.072916666666667	-0.104166666666667
176	0.145833333333333	-0.03125
177	0.125	-0.1875
178	-0.1875	-0.364583333333333
179	-0.0520833333333335	-0.0833333333333335
180	0.0625	-0.072916666666667
181	0.0208333333333335	-0.0625
182	0.0520833333333335	-0.0833333333333335
183	-0.0625	-0.177083333333333
184	-0.010416666666667	-0.09375
185	-0.21875	-0.0104166666666665
186	0.114583333333333	-0.270833333333333
187	0.4375	0.03125
188	-0.0104166666666665	-0.197916666666667
189	-0.0625000000000004	-0.020833333333333
190	0.114583333333333	0.0208333333333335
191	0.125	-0.166666666666667
192	-0.0625	0
193	-0.0208333333333335	0.0416666666666665
194	-0.135416666666667	-0.1875
195	-0.0208333333333335	-0.072916666666667
196	0.0416666666666665	-0.0104166666666665
197	-0.0625000000000004	0.0208333333333335
198	-0.0104166666666665	-0.177083333333333
199	-0.0729166666666665	-4.44089209850063e-16
200	0.020833333333333	0.03125
201	0.0208333333333335	-0.0416666666666665
202	-0.0208333333333339	-0.09375
203	-0.0208333333333333	-0.28125
204	0.03125	-0.197916666666667
205	-0.28125	-0.229166666666667
206	0.0208333333333335	-0.0937500000000004
