"Subject"	"Task"	"C_black"	"A_black"	"C_white"	"A_gun_white"	"A_tool_white"	"AResid"	"C_mean"	"IMS"	"EMS"	"Observer"
14	"WIT"	0.345373577436912	0.674981103552532	0.565217391304348	0.35	0.65	0.0616825247373184	0.45529548437063	9	2.4	"Absent"
15	"WIT"	0.608695652173913	0.888888888888889	0.556117290192113	0.314350797266515	0.685649202733485	0.279522289056392	0.582406471183013	4.4	1.8	"Present"
16	"WIT"	0.567363530778165	0.605369127516778	0.618401206636501	0.537549407114625	0.462450592885375	-0.0286154770844477	0.592882368707333	6.4	4.8	"Absent"
17	"WIT"	0.0624113475177305	0.568835098335855	0.13563829787234	0.566153846153846	0.433846153846154	-0.0683044731227078	0.0990248226950354	9	2.6	"Present"
18	"WIT"	0.0636856368563686	0.703328509406657	0.0395977372721559	0.774869109947644	0.225130890052356	0.0431683942140684	0.0516416870642623	9	7	"Absent"
19	"WIT"	0.695652173913043	0.142857142857143	0.313002364066194	0.0619408121128699	0.93805918788713	-0.438669542459687	0.504327268989619	9	2	"Present"
20	"WIT"	0.62202380952381	0.944881889763779	0.600414078674948	0.238341968911917	0.761658031088083	0.343898790617834	0.611218944099379	9	7	"Absent"
21	"WIT"	0.623376623376623	0.758620689655172	0.747368421052632	0.208333333333334	0.791666666666667	0.160947435199923	0.685372522214627	6.2	7	"Present"
22	"WIT"	0.19047619047619	0.529411764705882	0.313157894736842	0.655172413793103	0.344827586206897	-0.117546234941547	0.251817042606516	5.6	3.6	"Absent"
23	"WIT"	0.643740722414646	0.522222222222222	0.654761904761905	0.275862068965517	0.724137931034483	-0.0828992091591764	0.649251313588275	8.2	2.6	"Present"
24	"WIT"	0.681653746770026	0.511363636363636	0.705591291439881	0.710924369747899	0.289075630252101	-0.14174360372259	0.693622519104954	6.4	2.6	"Absent"
25	"WIT"	0.255067567567568	0.419501133786848	0.35348506401138	0.122112211221122	0.877887788778878	-0.168662240670636	0.304276315789474	7.6	5	"Present"
26	"WIT"	0.404761904761905	0.56	0.527161862527716	0.432590855803048	0.567409144196952	-0.0624080534817292	0.46596188364481	8.6	6.4	"Absent"
27	"WIT"	0.757309941520468	0.457831325301205	0.474747474747475	0.259615384615385	0.740384615384615	-0.145498155166701	0.616028708133971	NA	NA	"Present"
28	"WIT"	0	0.239669421487603	0	0.286885245901639	0.713114754098361	-0.366667826706295	0	9	5.2	"Absent"
29	"WIT"	0.231601731601732	0.526760563380282	0.211924119241192	0.53576341127923	0.46423658872077	-0.107027052296943	0.221762925421462	8.8	2.2	"Present"
30	"WIT"	0.786991869918699	0.687022900763359	0.65410199556541	0.211538461538461	0.788461538461539	0.0889961321823187	0.720546932742055	7.6	7.4	"Absent"
31	"WIT"	0	0.604166666666667	0.229761904761905	0.772797527047913	0.227202472952087	-0.0557649603747678	0.114880952380952	8.8	2.6	"Present"
32	"WIT"	0.0916666666666666	0.36697247706422	0.0513157894736842	0.499306518723994	0.500693481276006	-0.262794074344779	0.0714912280701754	9	2.8	"Absent"
33	"WIT"	0.837719298245614	0.486486486486486	0.694805194805195	0.297872340425532	0.702127659574468	-0.121062598759479	0.766262246525404	7	3.2	"Present"
34	"WIT"	0.140727489564699	0.566967383761277	0.256410256410256	0.551724137931034	0.448275862068966	-0.0685806427226898	0.198568872987478	6.4	5.6	"Absent"
35	"WIT"	0.236538461538462	0.705289672544081	0.315315315315315	0.486842105263158	0.513157894736842	0.0768979011582508	0.275926888426888	7.8	5	"Present"
36	"WIT"	0.635869565217391	0.343283582089552	0.661490683229814	0.422018348623853	0.577981651376147	-0.277958361834721	0.648680124223602	7.8	8	"Absent"
37	"WIT"	0.284722222222222	0.621359223300971	0.252717391304348	0.418181818181818	0.581818181818182	0.000540434900747324	0.268719806763285	9	9	"Present"
38	"WIT"	0.780976220275344	0.805714285714286	0.655919661733615	0.405529953917051	0.594470046082949	0.186290952487441	0.71844794100448	8.4	7.6	"Absent"
39	"WIT"	0.221670802315964	0.461211477151966	0.333333333333333	0.454545454545454	0.545454545454546	-0.163618089693596	0.277502067824649	8.6	3.8	"Present"
40	"WIT"	0	0.479166666666667	0.111583924349882	0.5747738158595	0.4252261841405	-0.158923656481006	0.0557919621749409	9	3.4	"Absent"
41	"WIT"	0.388366627497062	0.751200768491835	0.613595706618962	0.398148148148148	0.601851851851852	0.132591621920293	0.500981167058012	7.2	5.8	"Present"
